Cell ID,Minute,x,y,z
100000,1,875.5605,290.38763,393.41168
100001,1,913.53424,604.65594,394.50552
100002,1,916.41156,446.29584,402.99423
100003,1,828.84814,720.7133,452.84708
100004,1,248.55487,234.34727,456.1186
100005,1,203.36124,606.5203,466.44095
100006,1,322.06216,776.871,466.7613
100007,1,194.241,404.4102,475.55072
100008,1,713.87054,802.1835,484.6579
100009,1,652.88837,208.90944,511.5031
100010,1,338.75842,244.29507,528.68134
100011,1,550.9479,268.17523,528.8029
100012,1,599.2869,801.283,533.11005
100013,1,492.01654,781.0044,537.8915
100014,1,585.56396,409.08636,550.525
100015,1,786.9999,462.4957,552.536
100016,1,669.1579,558.7575,554.537
100017,1,441.0816,338.3034,558.8319
100018,1,461.23926,472.55164,593.4719
100019,1,430.81195,322.39084,594.4398
100020,1,346.19012,530.8066,595.98456
100021,1,627.9019,256.65472,613.08234
100022,1,447.58936,458.21768,618.3594
100023,1,646.0661,286.8922,622.0358
100024,1,555.9792,657.7476,633.8421
100025,1,540.24384,483.1692,644.0276
100026,1,462.38928,591.1424,648.008
100027,1,664.329,414.81427,656.1622
100028,1,483.39456,583.4585,656.56055
100029,1,520.40424,283.10754,658.8834
100030,1,671.7865,543.3283,660.4435
100031,1,661.38995,547.6553,662.6829
100032,1,622.9498,408.8834,667.7164
100033,1,521.60925,324.7751,681.79095
100034,1,537.9946,470.17776,684.9925
200000,2,877.0791,302.6141,395.4788
200001,2,867.0564,286.88385,396.6297
200002,2,911.2191,603.034,396.80264
200003,2,920.57983,443.37726,397.6229
200004,2,910.4214,452.2305,411.7668
200005,2,721.4564,166.46553,419.91196
200006,2,828.24695,716.44324,455.36475
200007,2,244.02446,248.08891,456.27625
200008,2,204.62367,605.15985,468.79434
200009,2,327.08875,775.1121,470.40714
200010,2,197.94914,394.1173,472.52377
200011,2,197.15535,419.28937,478.0405
200012,2,713.177,799.52185,485.3484
200013,2,811.8909,346.23077,513.2608
200014,2,650.7715,199.8562,513.8524
200015,2,678.1667,229.07542,518.52386
200016,2,564.66583,268.2045,520.17645
200017,2,339.54086,232.81602,523.8656
200018,2,778.79175,332.96124,530.6238
